GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,584.31,1372.92,1674.05,193.75,95.1,-56.34,-1143.76,-7172.43,420.68,1735.65,-5195.37,106.87,-2296.06,-5088.5,-7384.56
51,609.88,1423.65,1657.2,197.73,93.84,-32.4,-1129.48,-7126.63,428.23,1699.95,-5211.78,107.15,-2178.0,-5104.63,-7282.64
101,564.48,1381.59,1650.0,201.49,99.45,-33.52,-1122.04,-7207.62,424.31,1793.59,-5186.41,103.6,-2248.28,-5082.8,-7331.09
151,573.94,1385.94,1684.53,202.43,104.97,-36.09,-1150.42,-7228.04,433.33,1738.03,-5181.19,102.74,-2291.39,-5078.45,-7369.84
201,560.61,1435.46,1669.75,197.7,95.68,-41.3,-1145.38,-6781.33,422.46,1731.09,-5543.33,104.65,-1855.27,-5438.68,-7293.94
251,581.7,1429.3,1674.86,208.55,100.04,-31.56,-1139.94,-6995.92,422.92,1776.26,-5396.55,104.25,-1973.78,-5292.31,-7266.09
301,581.64,1394.84,1650.65,197.43,96.44,-39.5,-1117.83,-6993.61,423.72,1772.56,-5466.94,106.31,-2033.66,-5360.63,-7394.29
351,584.64,1432.43,1660.35,197.93,103.38,-35.24,-1154.91,-6927.37,425.94,1694.35,-5452.33,101.55,-2018.5,-5350.78,-7369.29
401,610.1,1416.9,1661.65,189.74,92.37,-38.53,-1133.58,-6925.02,430.98,1729.36,-5459.29,106.48,-1966.02,-5352.81,-7318.83
451,649.3,1424.79,1665.12,194.94,84.76,-41.85,-1143.28,-7094.41,413.49,1774.11,-5360.43,102.85,-2073.04,-5257.58,-7330.62
501,595.55,1384.64,1656.83,190.5,96.81,-51.8,-1114.61,-6796.52,421.92,1877.95,-5688.96,105.61,-1738.72,-5583.34,-7322.07
551,582.43,1416.1,1650.8,209.11,93.19,-45.12,-1148.94,-6775.02,432.05,1831.08,-5632.7,106.54,-1754.34,-5526.16,-7280.5
601,577.5,1406.26,1653.06,199.52,107.54,-45.68,-1131.04,-7123.11,425.02,1781.63,-5277.46,107.32,-2149.31,-5170.14,-7319.46
651,601.26,1360.05,1681.42,187.38,98.69,-50.97,-1106.79,-6897.59,423.08,1798.83,-5545.64,112.12,-1904.64,-5433.52,-7338.15
701,611.46,1395.63,1661.95,196.37,94.02,-53.37,-1101.74,-7030.53,419.63,1763.97,-5389.49,110.63,-2042.6,-5278.86,-7321.47
751,587.33,1386.87,1632.03,200.73,84.07,-52.07,-1085.83,-7000.96,422.45,1820.15,-5446.61,111.53,-2005.23,-5335.09,-7340.32
801,579.73,1351.05,1651.65,198.61,98.62,-51.61,-1122.44,-6676.43,433.44,1774.83,-5695.17,109.88,-1762.55,-5585.29,-7347.84
851,564.12,1348.57,1665.08,195.5,96.97,-44.45,-1110.44,-6879.71,452.65,1774.22,-5509.86,107.57,-1937.48,-5402.29,-7339.77
901,589.12,1367.49,1663.59,202.54,82.06,-49.42,-1082.5,-6522.87,431.3,1768.27,-5875.58,110.25,-1550.42,-5765.33,-7315.75
951,627.79,1441.35,1666.6,200.11,99.69,-60.42,-1077.8,-6887.47,423.19,1807.1,-5554.48,109.48,-1759.85,-5445.01,-7204.86
1001,555.78,1397.66,1639.94,190.48,101.4,-52.03,-1101.93,-7132.86,440.38,1767.95,-5309.14,107.14,-2193.21,-5201.99,-7395.21
1051,624.69,1424.61,1643.1,205.09,98.47,-51.26,-1108.81,-6982.04,417.68,1704.4,-5409.33,111.04,-2024.07,-5298.29,-7322.36
1101,621.77,1408.95,1626.82,207.28,85.69,-57.68,-1079.09,-6909.05,418.15,1699.54,-5437.53,110.88,-1977.62,-5326.65,-7304.27
