time_ps,min_dist_A
0.0,1.602930691321954
50.0,1.6928922158853825
100.0,1.5050895142307787
150.0,1.3721491508791335
200.0,2.316737867554528
250.0,2.827485729292887
300.0,1.8565572037760618
350.0,2.0795397396028057
400.0,2.608082831723614
450.0,0.9246032755144122
500.0,1.8430945322616346
550.0,1.278975513100991
600.0,1.500296415421595
650.0,1.6313476402334741
700.0,2.2972345547949953
750.0,1.7054574168333587
800.0,1.7800543881864628
850.0,3.011623676662232
900.0,2.04738555104913
950.0,0.6271339984543498
1000.0,2.1256722454641515
1050.0,2.903031250589431
1100.0,1.1869673584541673
1150.0,1.6000285842369306
1200.0,1.2300413283008522
1250.0,3.347025670811966
1300.0,2.03599735648639
1350.0,3.17585899640179
1400.0,3.673278012379807
1450.0,0.7406749410429975
1500.0,1.5748281447022165
1550.0,1.495926794910269
1600.0,2.1922813113436073
1650.0,1.3915790255936618
1700.0,1.296221822293593
1750.0,1.7117522968892647
1800.0,2.580871047017543
1850.0,1.1992064866160779
1900.0,3.0601447925166165
1950.0,2.1013547846962175
2000.0,1.1795327739085
2050.0,3.2085185264650855
2100.0,4.008004350156091
2150.0,3.1037400249291296
2200.0,2.8669299462866316
2250.0,2.764432929664731
2300.0,3.1693049937972546
2350.0,2.7208988909089022
2400.0,3.095929972959949
2450.0,3.2225908686565825
2500.0,3.718541464419682
2550.0,2.7114568419190355
2600.0,2.960015346385504
2650.0,3.132888012943385
2700.0,3.747489033204908
2750.0,2.662553231297243
2800.0,3.362273455741321
2850.0,2.687952942626749
2900.0,3.172723210564577
2950.0,2.6124315147450066
3000.0,2.9077275299524086
3050.0,2.274487253618289
3100.0,2.319547472920158
3150.0,1.6456873339647806
3200.0,2.1100898998411823
3250.0,1.7227294025074493
3300.0,3.3594443797388114
3350.0,4.140856093568014
3400.0,4.21029600503109
3450.0,4.220614766545456
3500.0,3.695336108378657
3550.0,3.097638429969808
3600.0,3.565288885329789
3650.0,2.664880068374327
3700.0,1.873546896250712
3750.0,1.6125420739682688
3800.0,3.3953667691270115
3850.0,3.708760202549696
3900.0,3.3342010273155336
3950.0,3.4829559242439956
4000.0,3.646888438800073
4050.0,3.597443658049583
4100.0,4.4715437047698225
4150.0,4.252879121581148
4200.0,4.507882350589331
4250.0,2.553798721307469
4300.0,4.909554165182694
4350.0,4.2829190925564475
4400.0,4.33346229463937
4450.0,3.8290708609084416
4500.0,3.7455540637111056
4550.0,3.576956631113372
4600.0,3.4716685405563594
4650.0,3.2107471193255406
4700.0,2.6292354711256305
4750.0,2.4202833914609125
4800.0,2.703865021885152
4850.0,3.144132069975971
4900.0,3.525133238098783
4950.0,3.8828305653866777
5000.0,2.379175832688599
5050.0,2.0681601931393505
5100.0,2.9950581448523157
5150.0,0.30643318023972854
5200.0,1.5718759746297126
5250.0,1.6201836978717967
5300.0,1.8939365239241173
5350.0,1.6284329769995833
5400.0,1.0714876176494068
5450.0,1.9801708926172246
5500.0,4.134983499815347
5550.0,3.513056487075245
5600.0,2.244593281429251
5650.0,1.0451349972682114
5700.0,1.0818479622584003
5750.0,2.8425812448515693
5800.0,1.984814103123765
5850.0,3.599902886249414
5900.0,3.636287087119944
5950.0,3.290669694823364
6000.0,3.4576430258495576
6050.0,2.8882657665483493
6100.0,3.13909136412173
6150.0,3.4012150045402043
6200.0,2.2532869450870447
6250.0,1.5396383133337033
6300.0,3.7826334286478245
6350.0,3.290515122369547
6400.0,3.1042887474190404
6450.0,3.6389416486997264
6500.0,3.53895086141608
6550.0,3.1550749350056124
6600.0,3.753639485109823
6650.0,3.222882959832491
6700.0,3.2076114940284763
6750.0,2.452832530092097
6800.0,3.4345597910471715
6850.0,3.878684956007355
6900.0,3.3920654468352747
6950.0,3.502368009103976
7000.0,3.4114237160811918
7050.0,2.8879584565306673
7100.0,3.367343016370978
7150.0,3.7265132047654093
7200.0,3.0145299476135885
7250.0,3.578278092307477
7300.0,3.77934924302273
7350.0,2.769006204091145
7400.0,3.5688370964295664
7450.0,3.5694358717669417
7500.0,3.54660331162806
7550.0,3.1449268675939193
7600.0,3.689943841856918
7650.0,1.6155466596582333
7700.0,3.8586117203723806
7750.0,4.264291058168856
7800.0,4.171065849743283
7850.0,4.016477866477967
7900.0,4.011892192881282
7950.0,2.464323993091049
8000.0,3.6237649591665506
8050.0,2.2970840552465726
8100.0,2.158447313675886
8150.0,2.9990625569872598
8200.0,2.089038571530122
8250.0,3.1101604309899757
8300.0,3.530465989952206
8350.0,3.7934923907203486
8400.0,2.574759865240678
8450.0,4.430451044757724
8500.0,3.8954959068913086
8550.0,3.0402747868318336
8600.0,4.767240407568559
8650.0,3.157514873117593
8700.0,2.6190980549824228
8750.0,2.1090972719436465
8800.0,1.5056515096623326
8850.0,2.282408052338061
8900.0,1.681928059620949
8950.0,1.4522035563546634
9000.0,1.527148179232128
9050.0,2.7726298780128036
9100.0,2.7910730662407595
9150.0,1.7600508795412695
9200.0,3.964953803129044
9250.0,1.7596812566604476
9300.0,2.79116098565471
9350.0,3.224356907330189
9400.0,3.058265397353283
9450.0,3.0594422883075922
9500.0,2.6252210042371433
9550.0,2.6973121703556
9600.0,2.6117060181534226
9650.0,3.232422613772575
9700.0,1.4259356412709963
9750.0,2.0508292085175936
9800.0,1.3889863546198065
9850.0,2.1089536182191697
9900.0,0.6879677874173582
