GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,630.84,1370.51,1667.49,200.98,113.72,-40.23,-1135.9,-7098.68,435.89,1794.88,-5336.88,104.77,-2060.51,-5232.11,-7292.62
51,556.22,1313.03,1652.8,192.36,96.55,-49.02,-1118.09,-7083.0,445.65,1823.54,-5369.72,102.35,-2169.96,-5267.37,-7437.33
101,588.15,1394.49,1677.63,194.09,83.52,-40.16,-1138.06,-7060.19,430.85,1770.58,-5366.09,104.74,-2099.09,-5261.34,-7360.43
151,555.99,1382.71,1676.43,201.37,99.15,-46.38,-1117.61,-6915.41,432.71,1807.71,-5516.85,102.89,-1923.35,-5413.96,-7337.31
201,564.69,1352.2,1647.52,189.75,104.73,-53.83,-1108.63,-7170.26,436.81,1837.83,-5300.76,103.02,-2199.18,-5197.73,-7396.92
251,606.5,1358.4,1673.36,186.59,109.71,-51.8,-1140.19,-7053.56,432.36,1743.81,-5347.3,103.1,-2134.81,-5244.19,-7379.0
301,600.83,1423.35,1684.89,205.62,109.14,-56.47,-1139.63,-6961.98,434.25,1788.29,-5474.38,102.26,-1911.71,-5372.13,-7283.84
351,605.13,1363.86,1667.98,194.32,92.72,-55.09,-1129.8,-6836.33,411.98,1805.83,-5595.8,105.02,-1879.4,-5490.78,-7370.18
401,585.63,1421.82,1691.02,193.01,109.48,-47.09,-1127.49,-7133.15,418.46,1827.59,-5338.67,105.12,-2060.72,-5233.55,-7294.27
451,613.92,1411.04,1651.67,200.2,94.04,-30.29,-1080.86,-7253.02,437.52,1848.35,-5255.25,103.19,-2107.43,-5152.06,-7259.49
501,600.31,1395.53,1655.57,203.86,96.68,-39.84,-1157.68,-7076.07,411.74,1801.81,-5354.52,100.54,-2108.08,-5253.98,-7362.06
551,581.99,1426.31,1667.45,188.66,113.94,-38.76,-1139.55,-7211.59,437.91,1840.2,-5252.98,103.07,-2133.44,-5149.91,-7283.35
601,653.42,1377.9,1670.75,204.12,75.42,-40.59,-1141.99,-7165.77,405.91,1750.74,-5237.76,102.07,-2210.08,-5135.69,-7345.77
651,609.46,1394.94,1670.67,195.78,98.41,-52.57,-1126.93,-7410.64,444.43,1775.28,-5025.01,103.05,-2401.16,-4921.95,-7323.12
701,599.41,1393.93,1649.57,204.47,103.54,-47.3,-1127.72,-7299.44,446.77,1811.66,-5143.24,104.07,-2265.1,-5039.17,-7304.27
751,598.66,1364.37,1660.75,197.77,87.65,-35.51,-1147.82,-7254.9,420.71,1780.81,-5125.42,101.26,-2327.52,-5024.16,-7351.68
801,585.96,1396.63,1661.82,203.22,102.86,-46.48,-1150.11,-6981.73,433.52,1760.25,-5390.85,102.08,-2034.07,-5288.77,-7322.85
851,603.66,1361.08,1658.79,187.1,91.88,-56.96,-1141.62,-7054.79,417.5,1831.89,-5425.43,104.5,-2101.48,-5320.93,-7422.41
901,621.3,1424.81,1669.79,209.54,93.16,-38.88,-1145.35,-7083.63,421.79,1779.84,-5344.95,102.75,-2047.62,-5242.2,-7289.81
951,593.04,1398.17,1650.37,197.74,93.34,-40.58,-1123.41,-7291.96,435.25,1823.97,-5177.0,104.2,-2264.07,-5072.8,-7336.87
1001,582.2,1400.19,1648.57,194.17,102.01,-37.32,-1118.75,-7296.08,419.39,1825.29,-5204.58,100.73,-2280.33,-5103.86,-7384.19
1051,597.5,1405.34,1655.51,197.95,89.74,-46.23,-1160.65,-7106.87,412.53,1797.68,-5365.36,101.03,-2157.49,-5264.33,-7421.82
1101,597.1,1403.72,1667.84,201.53,93.59,-49.28,-1138.13,-7400.5,414.9,1786.78,-5061.3,101.4,-2422.45,-4959.89,-7382.35
1151,578.1,1389.97,1673.75,198.75,86.04,-48.23,-1136.53,-7261.81,421.51,1839.17,-5194.44,103.22,-2259.27,-5091.23,-7350.5
1201,605.73,1399.12,1670.46,199.55,97.51,-37.24,-1116.12,-7057.15,416.27,1705.31,-5317.46,104.4,-2116.56,-5213.06,-7329.62
1251,576.87,1319.82,1685.7,197.98,81.48,-43.16,-1137.46,-7186.41,429.98,1816.53,-5216.66,105.48,-2258.68,-5111.18,-7369.86
1301,617.35,1410.7,1638.99,199.23,89.63,-41.17,-1125.01,-7126.86,423.24,1804.9,-5295.07,105.6,-2108.99,-5189.47,-7298.46
1351,600.68,1347.28,1671.71,190.45,105.81,-45.35,-1145.64,-6907.9,420.22,1825.89,-5527.33,105.06,-1936.84,-5422.27,-7359.12
1401,616.61,1399.83,1630.93,196.49,101.68,-39.88,-1094.07,-7189.76,426.38,1818.01,-5280.56,104.25,-2133.77,-5176.31,-7310.08
1451,584.13,1405.43,1636.56,192.87,90.02,-44.82,-1108.48,-7157.27,428.28,1867.93,-5299.42,106.97,-2105.35,-5192.45,-7297.8
1501,597.65,1377.29,1662.46,203.36,105.01,-43.3,-1145.02,-6892.48,405.61,1849.73,-5536.0,104.89,-1879.69,-5431.11,-7310.8
