descriptor,mean,std,min,max,median
pock_volume,96.5656,85.3113,0.0,402.79,97.715
pock_asa,76.4115,63.806,0.0,287.86,83.385
pock_pol_asa,21.9131,24.3395,0.0,145.45,16.4
pock_apol_asa,54.4983,46.3382,0.0,228.24,59.17
pock_asa22,46.4874,42.0032,0.0,220.21,46.63
pock_pol_asa22,15.7265,18.535,0.0,137.84,10.57
pock_apol_asa22,30.7608,29.8719,0.0,172.02,26.76
nb_AS,10.2479,11.4807,0.0,79.0,7.0
mean_as_ray,2.6776,1.9125,0.0,6.0,3.83
mean_as_solv_acc,0.3159,0.2395,0.0,0.92,0.4
apol_as_prop,0.5371,0.4352,0.0,1.0,0.67
mean_loc_hyd_dens,6.7664,8.6531,0.0,75.52,3.0
hydrophobicity_score,28.8716,24.2196,-23.0,99.67,34.22
volume_score,3.9226,2.7865,0.0,6.67,5.8
polarity_score,1.7455,1.4762,0.0,5.0,2.0
charge_score,1.7454,1.4762,0.0,5.0,2.0
prop_polar_atm,14.582,14.4352,0.0,100.0,14.29
as_density,0.97,0.9501,0.0,6.76,0.86
as_max_dst,1.7791,2.5292,-1.0,6.93,1.77
convex_hull_volume,0.8465,1.7656,-1.0,17.01,0.0
nb_abpa,0.3057,0.6376,0.0,6.0,0.0
ALA,0.0,0.0,0.0,0.0,0.0
ARG,0.7767,0.8464,0.0,4.0,1.0
ASN,0.0,0.0,0.0,0.0,0.0
ASP,0.0,0.0,0.0,0.0,0.0
CYS,0.0,0.0,0.0,0.0,0.0
GLN,0.0,0.0,0.0,0.0,0.0
GLU,0.0001,0.0075,0.0,1.0,0.0
GLY,0.0,0.0,0.0,0.0,0.0
HIS,0.0,0.0,0.0,0.0,0.0
ILE,0.4531,0.4978,0.0,1.0,0.0
LEU,0.6342,0.4867,0.0,2.0,1.0
LYS,0.9687,0.8553,0.0,3.0,1.0
MET,0.0,0.0,0.0,0.0,0.0
PHE,0.8813,0.8305,0.0,3.0,1.0
PRO,0.0,0.0,0.0,0.0,0.0
SER,0.0,0.0,0.0,0.0,0.0
THR,0.0,0.0,0.0,0.0,0.0
TRP,0.0,0.0,0.0,0.0,0.0
TYR,0.0,0.0,0.0,0.0,0.0
VAL,0.0023,0.0479,0.0,1.0,0.0
