GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
9351,293.16,645.25,808.18,89.69,44.01,-21.23,-451.55,-3855.85,206.61,632.01,-2112.71,60.35,-1609.71,-2052.36,-3662.08
9401,264.22,671.18,813.52,85.95,58.72,-13.82,-433.21,-3840.25,205.28,652.26,-2133.14,62.44,-1536.15,-2070.7,-3606.84
9451,280.21,689.87,833.77,100.51,39.69,-29.33,-466.29,-3915.34,212.29,630.09,-1997.04,61.2,-1624.52,-1935.84,-3560.36
9501,267.61,692.26,835.17,92.93,48.64,-28.86,-471.74,-3735.16,208.38,692.29,-2241.66,61.66,-1398.47,-2180.0,-3578.47
9551,271.03,701.6,799.87,91.23,54.1,-36.79,-443.84,-3746.46,197.8,667.18,-2201.12,62.17,-1444.27,-2138.96,-3583.22
9601,298.49,682.36,815.37,85.91,41.54,-14.88,-437.71,-3740.17,211.05,694.5,-2243.08,63.63,-1363.53,-2179.45,-3542.99
9651,300.16,684.52,800.6,99.51,46.94,-34.14,-444.53,-3730.58,210.41,672.32,-2254.85,63.24,-1394.8,-2191.6,-3586.4
9701,333.66,671.61,819.75,91.31,38.88,-24.32,-444.37,-3818.4,203.88,621.8,-2133.96,62.6,-1506.21,-2071.36,-3577.57
9751,304.09,697.74,820.64,95.44,39.85,-31.87,-448.51,-3783.88,197.12,595.54,-2152.44,63.45,-1513.83,-2089.0,-3602.83
9801,300.04,642.61,812.96,92.97,46.67,-28.28,-442.67,-3773.02,198.77,629.5,-2173.62,62.02,-1520.44,-2111.6,-3632.04
9851,283.79,643.56,812.98,92.87,51.7,-21.69,-449.6,-3910.84,209.34,669.96,-2072.64,60.64,-1617.93,-2011.99,-3629.92
9901,283.4,631.68,815.62,87.84,47.16,-28.01,-446.48,-3996.1,226.9,710.74,-2027.4,59.79,-1667.26,-1967.61,-3634.86
9951,295.65,669.07,801.34,93.6,42.65,-24.83,-439.07,-3863.81,206.61,643.32,-2130.22,62.53,-1575.46,-2067.7,-3643.16
10001,274.33,665.15,813.95,88.06,41.11,-30.97,-427.54,-3817.67,210.12,678.85,-2202.21,62.3,-1504.61,-2139.91,-3644.52
10051,244.51,697.81,818.23,94.95,47.82,-22.6,-460.44,-3670.67,211.92,671.65,-2312.28,62.61,-1366.83,-2249.66,-3616.49
10101,289.22,625.19,813.15,82.59,44.55,-27.23,-456.22,-3955.8,210.74,722.75,-2078.39,61.76,-1651.06,-2016.63,-3667.69
10151,295.99,695.79,815.87,94.68,44.68,-27.56,-462.78,-3808.55,210.59,649.24,-2162.16,62.0,-1492.05,-2100.16,-3592.21
10201,276.2,661.36,816.77,91.99,51.22,-19.9,-452.57,-3768.02,207.77,640.19,-2188.64,63.65,-1495.0,-2124.99,-3619.99
10251,281.34,674.51,807.06,82.13,44.08,-31.13,-423.77,-3745.15,199.46,603.87,-2192.82,63.94,-1507.6,-2128.88,-3636.48
10301,291.2,667.19,822.09,96.47,49.32,-30.28,-439.38,-3812.57,204.81,679.79,-2167.42,62.48,-1471.35,-2104.94,-3576.28
10351,293.52,660.41,810.29,90.88,50.08,-17.73,-460.83,-3732.1,210.19,701.23,-2268.96,61.23,-1394.07,-2207.72,-3601.79
10401,309.84,679.2,817.73,94.73,44.86,-21.82,-460.67,-3708.52,203.4,590.8,-2206.17,61.72,-1450.45,-2144.45,-3594.9
10451,306.57,657.24,800.31,92.4,58.1,-26.51,-473.4,-3757.26,193.12,619.54,-2182.47,60.37,-1529.89,-2122.11,-3651.99
10501,339.07,673.25,816.07,94.65,45.78,-30.8,-462.82,-3752.01,193.97,634.73,-2203.79,62.21,-1448.09,-2141.58,-3589.67
10551,288.43,666.34,812.17,94.12,41.27,-35.07,-446.39,-3831.07,214.21,618.24,-2116.98,63.26,-1577.74,-2053.72,-3631.46
10601,281.28,678.06,790.14,96.9,47.87,-22.01,-464.81,-3786.18,198.32,635.44,-2161.69,60.55,-1545.0,-2101.14,-3646.14
10651,288.39,688.57,827.91,91.5,47.88,-38.08,-454.26,-3753.4,200.84,706.92,-2255.55,62.05,-1393.73,-2193.51,-3587.23
10701,271.87,646.75,814.07,87.37,49.68,-37.0,-474.35,-3728.83,203.66,674.85,-2252.25,61.71,-1491.93,-2190.54,-3682.47
10751,282.75,645.21,835.76,86.41,55.49,-35.24,-450.38,-3846.62,204.98,636.67,-2117.02,61.61,-1584.97,-2055.41,-3640.38
10801,270.38,677.2,827.53,93.42,40.14,-33.11,-467.14,-3885.01,221.13,647.85,-2067.78,60.83,-1607.61,-2006.94,-3614.56
10851,304.2,689.3,811.3,91.32,45.45,-31.49,-466.8,-3770.02,217.41,652.93,-2188.87,60.7,-1456.42,-2128.17,-3584.59
10901,286.74,666.53,832.94,91.07,50.71,-27.58,-449.78,-3889.0,207.05,681.41,-2115.34,61.18,-1549.91,-2054.15,-3604.06
10951,303.63,679.05,804.4,97.95,55.44,-28.36,-474.94,-3739.9,202.2,662.4,-2201.86,61.82,-1438.14,-2140.04,-3578.18
11001,304.17,662.8,815.24,92.81,38.34,-34.35,-464.26,-3510.39,204.56,633.91,-2427.33,63.26,-1257.16,-2364.06,-3621.23
11051,271.08,664.52,804.31,91.57,46.76,-33.24,-452.81,-3762.84,212.63,667.62,-2199.52,62.6,-1490.4,-2136.93,-3627.33
11101,298.44,669.59,812.38,93.51,47.71,-27.77,-442.99,-3755.45,209.02,688.23,-2240.03,62.59,-1407.32,-2177.43,-3584.75
11151,281.64,648.32,797.75,90.95,43.18,-20.71,-456.26,-3849.55,204.49,729.27,-2179.49,63.43,-1530.93,-2116.06,-3646.99
11201,319.81,661.96,813.94,88.83,44.96,-35.63,-437.97,-3799.29,212.22,611.74,-2127.5,63.24,-1519.44,-2064.26,-3583.71
11251,299.09,677.76,798.36,93.71,50.97,-24.68,-442.46,-3715.4,197.31,623.74,-2226.74,63.13,-1441.6,-2163.61,-3605.2
11301,310.97,709.86,827.77,98.55,57.07,-37.74,-470.6,-3855.81,203.49,614.22,-2075.39,61.67,-1542.23,-2013.72,-3555.94
11351,276.05,664.29,825.37,87.61,53.16,-37.09,-467.11,-3649.92,209.08,611.45,-2257.21,60.65,-1427.11,-2196.56,-3623.67
11401,271.92,672.81,808.66,85.67,55.2,-31.09,-458.83,-3673.36,202.73,662.73,-2249.89,61.71,-1403.57,-2188.18,-3591.74
11451,297.8,682.8,836.12,88.44,43.64,-32.16,-451.92,-3704.53,219.25,659.79,-2242.16,62.94,-1360.77,-2179.23,-3539.99
11501,309.31,656.89,817.67,86.16,44.63,-38.28,-459.18,-3624.23,201.03,647.45,-2332.75,63.04,-1358.55,-2269.71,-3628.26
11551,272.7,669.25,813.23,87.74,59.03,-23.64,-453.5,-3799.83,190.2,646.34,-2149.4,61.58,-1538.47,-2087.83,-3626.3
11601,272.33,648.2,821.87,84.29,51.52,-39.09,-476.54,-3861.46,213.93,652.62,-2070.3,61.58,-1632.33,-2008.72,-3641.05
11651,298.22,696.63,845.21,99.53,45.88,-38.77,-451.51,-3783.15,208.98,625.7,-2173.89,62.56,-1453.27,-2111.32,-3564.59
11701,291.74,661.37,843.44,96.9,54.16,-32.67,-459.87,-3776.89,220.04,654.1,-2182.24,61.68,-1447.69,-2120.55,-3568.24
11751,293.75,661.83,832.51,96.69,49.6,-30.4,-444.59,-3852.24,213.86,658.88,-2120.44,61.43,-1520.12,-2059.01,-3579.12
11801,283.88,661.76,802.48,92.71,39.48,-31.3,-448.33,-3730.3,209.49,657.45,-2239.68,62.61,-1462.68,-2177.08,-3639.75
11851,288.65,687.89,821.6,99.01,39.44,-30.01,-438.75,-3863.76,215.43,591.02,-2082.11,61.47,-1589.48,-2020.64,-3610.12
11901,268.96,693.59,829.43,92.75,46.33,-21.52,-441.83,-3934.58,219.25,671.98,-2047.52,60.98,-1575.64,-1986.54,-3562.18
