descriptor,mean,std,min,max,median
pock_volume,175.5575,105.5062,0.0,525.91,204.555
pock_asa,116.3209,67.5238,0.0,293.13,137.44
pock_pol_asa,41.3312,30.6296,0.0,173.88,41.85
pock_apol_asa,74.9897,45.3369,0.0,195.64,86.95
pock_asa22,79.0408,49.6769,0.0,254.6,88.105
pock_pol_asa22,26.8281,24.1141,0.0,163.08,22.97
pock_apol_asa22,52.2127,35.6313,0.0,177.76,55.43
nb_AS,45.603,30.784,0.0,167.0,51.0
mean_as_ray,3.2065,1.6654,0.0,5.14,4.01
mean_as_solv_acc,0.4312,0.2339,0.0,0.93,0.52
apol_as_prop,0.3537,0.2757,0.0,1.0,0.35
mean_loc_hyd_dens,16.9629,15.8552,0.0,107.36,14.24
hydrophobicity_score,9.2324,7.0777,-22.5,69.0,8.57
volume_score,3.7806,1.9805,0.0,7.0,4.67
polarity_score,3.419,1.9537,0.0,8.0,4.0
charge_score,1.4709,1.0078,-1.0,4.0,2.0
prop_polar_atm,29.9052,16.7255,0.0,80.0,35.29
as_density,1.4596,0.8699,0.0,3.91,1.74
as_max_dst,3.6062,2.6584,-1.0,7.98,4.6
convex_hull_volume,5.0037,5.2978,-1.0,37.29,3.53
nb_abpa,2.6352,1.7963,0.0,9.0,3.0
ALA,0.7614,0.4427,0.0,2.0,1.0
ARG,2.0325,1.1615,0.0,4.0,2.0
ASN,0.0001,0.0091,0.0,1.0,0.0
ASP,0.0,0.0,0.0,0.0,0.0
CYS,0.0,0.0,0.0,0.0,0.0
GLN,0.0724,0.2592,0.0,1.0,0.0
GLU,0.5632,0.5625,0.0,2.0,1.0
GLY,0.0,0.0,0.0,0.0,0.0
HIS,0.0005,0.023,0.0,1.0,0.0
ILE,0.0,0.0,0.0,0.0,0.0
LEU,0.7679,0.4226,0.0,2.0,1.0
LYS,0.001,0.0316,0.0,1.0,0.0
MET,0.0,0.0,0.0,0.0,0.0
PHE,0.0,0.0,0.0,0.0,0.0
PRO,0.0,0.0,0.0,0.0,0.0
SER,0.7492,0.4335,0.0,1.0,1.0
THR,0.0,0.0,0.0,0.0,0.0
TRP,0.0,0.0,0.0,0.0,0.0
TYR,0.0,0.0,0.0,0.0,0.0
VAL,0.0,0.0,0.0,0.0,0.0
