snapshot,time_ns,pock_volume,pock_asa,pock_pol_asa,pock_apol_asa,pock_asa22,pock_pol_asa22,pock_apol_asa22,nb_AS,mean_as_ray,mean_as_solv_acc,apol_as_prop,mean_loc_hyd_dens,hydrophobicity_score,volume_score,polarity_score,charge_score,prop_polar_atm,as_density,as_max_dst,convex_hull_volume,nb_abpa,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
1.0,0.05,361.13,230.28,88.99,141.29,192.71,91.41,101.3,110.0,4.23,0.51,0.28,27.61,8.57,4.86,5.0,2.0,28.57,2.49,6.33,23.93,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.1,248.25,196.31,88.83,107.48,135.22,68.33,66.9,89.0,4.38,0.45,0.27,19.75,12.33,4.5,4.0,1.0,47.06,1.77,5.51,6.47,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,0.15000000000000002,328.87,216.05,95.28,120.76,158.95,82.49,76.45,109.0,4.39,0.48,0.07,4.75,8.57,4.86,5.0,2.0,42.11,2.21,6.23,11.76,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,0.2,280.35,217.08,107.18,109.89,154.92,84.2,70.72,96.0,4.27,0.42,0.38,33.0,12.33,4.5,4.0,1.0,41.18,2.11,5.33,5.71,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,0.25,349.01,247.3,115.66,131.63,163.71,89.17,74.54,107.0,4.31,0.53,0.21,19.57,3.62,4.75,6.0,1.0,40.91,2.44,6.76,18.83,4.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.0,0.30000000000000004,228.02,177.98,71.71,106.27,95.7,42.19,53.52,62.0,4.17,0.46,0.42,23.08,12.33,4.5,4.0,1.0,35.29,1.52,5.21,2.97,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.0,0.35000000000000003,167.83,105.86,37.03,68.83,67.22,19.44,47.78,34.0,3.99,0.49,0.18,4.33,19.2,5.6,3.0,3.0,46.15,1.55,4.33,0.63,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.4,309.63,240.72,101.85,138.88,150.68,68.5,82.19,62.0,4.08,0.37,0.4,21.68,12.33,4.5,4.0,1.0,41.18,2.08,6.8,12.99,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.0,0.45,183.0,84.45,10.78,73.67,49.55,1.77,47.78,29.0,4.06,0.63,1.0,24.97,27.5,5.25,2.0,2.0,30.0,1.8,4.23,0.65,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.5,219.92,141.02,50.45,90.57,111.09,36.55,74.54,52.0,4.21,0.64,0.35,14.22,12.33,4.5,4.0,1.0,40.0,1.85,3.92,2.08,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,0.55,263.17,171.07,63.59,107.48,149.64,55.99,93.66,43.0,4.45,0.52,0.47,16.9,12.33,4.5,4.0,1.0,40.0,1.61,4.29,2.69,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12.0,0.6000000000000001,225.56,165.04,34.62,130.42,134.8,31.58,103.21,68.0,4.22,0.51,0.87,55.02,21.0,4.6,3.0,2.0,31.25,1.85,4.18,3.34,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13.0,0.65,292.59,211.01,96.29,114.72,142.29,75.4,66.9,56.0,3.92,0.45,0.59,29.7,12.33,4.5,4.0,1.0,47.06,2.79,6.17,6.65,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
