descriptor,mean,std,min,max,median
pock_volume,194.4843,102.0921,0.0,497.77,219.2
pock_asa,110.2986,56.873,0.0,261.17,124.7
pock_pol_asa,38.3342,24.5713,0.0,144.46,38.84
pock_apol_asa,71.9644,38.4051,0.0,182.35,80.91
pock_asa22,83.7107,45.2279,0.0,212.93,92.95
pock_pol_asa22,33.2034,22.9183,0.0,133.04,33.04
pock_apol_asa22,50.5071,29.3761,0.0,152.91,55.43
nb_AS,45.1661,29.1812,0.0,164.0,48.0
mean_as_ray,3.414,1.5167,0.0,5.06,4.04
mean_as_solv_acc,0.4951,0.2327,0.0,0.94,0.56
apol_as_prop,0.5854,0.3169,0.0,1.0,0.68
mean_loc_hyd_dens,28.7328,21.3548,0.0,121.29,28.69
hydrophobicity_score,11.4865,9.1284,-34.5,67.33,12.57
volume_score,4.3035,1.9329,0.0,7.0,5.0
polarity_score,3.6309,1.736,0.0,7.0,4.0
charge_score,-0.0898,0.4847,-1.0,2.0,0.0
prop_polar_atm,22.9837,12.4148,0.0,75.0,25.0
as_density,1.5916,0.8396,0.0,5.88,1.81
as_max_dst,4.1255,2.6329,-1.0,8.55,4.91
convex_hull_volume,4.7569,5.08,-1.0,42.92,3.31
nb_abpa,1.3806,1.1838,0.0,6.0,1.0
ALA,0.0,0.0,0.0,0.0,0.0
ARG,0.0976,0.2968,0.0,1.0,0.0
ASN,0.0,0.0,0.0,0.0,0.0
ASP,0.0,0.0,0.0,0.0,0.0
CYS,0.0,0.0,0.0,0.0,0.0
GLN,0.0084,0.0915,0.0,1.0,0.0
GLU,0.8214,0.3835,0.0,2.0,1.0
GLY,0.0,0.0,0.0,0.0,0.0
HIS,0.0,0.0,0.0,0.0,0.0
ILE,0.0,0.0,0.0,0.0,0.0
LEU,0.0612,0.2397,0.0,1.0,0.0
LYS,0.634,0.4817,0.0,1.0,1.0
MET,0.0001,0.0118,0.0,1.0,0.0
PHE,0.0,0.0,0.0,0.0,0.0
PRO,0.592,0.4915,0.0,1.0,1.0
SER,0.4247,0.4943,0.0,1.0,0.0
THR,0.0,0.0,0.0,0.0,0.0
TRP,0.0,0.0,0.0,0.0,0.0
TYR,1.6447,0.7472,0.0,2.0,2.0
VAL,0.3124,0.4635,0.0,1.0,0.0
