snapshot,time_ns,pock_volume,pock_asa,pock_pol_asa,pock_apol_asa,pock_asa22,pock_pol_asa22,pock_apol_asa22,nb_AS,mean_as_ray,mean_as_solv_acc,apol_as_prop,mean_loc_hyd_dens,hydrophobicity_score,volume_score,polarity_score,charge_score,prop_polar_atm,as_density,as_max_dst,convex_hull_volume,nb_abpa,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
17.0,0.8500000000000001,256.47,144.05,45.02,99.03,135.58,59.13,76.45,15.0,4.29,0.52,0.87,11.23,18.75,4.75,3.0,0.0,25.0,2.3,4.22,1.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
18.0,0.9,237.07,120.2,13.93,106.27,86.89,10.43,76.45,52.0,4.23,0.64,0.94,44.98,13.86,4.71,5.0,0.0,22.22,1.65,4.1,6.79,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
19.0,0.9500000000000001,142.1,99.4,25.74,73.67,70.05,26.08,43.96,32.0,4.28,0.69,0.53,13.53,22.5,5.0,4.0,-1.0,27.27,0.81,1.68,0.34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
20.0,1.0,222.93,166.94,73.95,92.99,109.51,52.17,57.34,60.0,3.6,0.39,0.6,32.33,13.4,5.2,5.0,0.0,31.25,1.77,5.78,9.47,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
21.0,1.05,380.03,200.1,41.9,158.2,165.27,29.56,135.71,105.0,4.15,0.68,0.88,87.43,13.86,4.71,5.0,0.0,24.0,2.59,6.96,20.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
22.0,1.1,233.98,143.6,53.03,90.57,102.94,24.57,78.37,36.0,4.0,0.72,0.69,21.52,8.83,5.5,6.0,1.0,33.33,2.16,6.24,8.32,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
23.0,1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,1.2000000000000002,392.75,225.97,76.23,149.75,181.81,74.78,107.04,95.0,4.32,0.64,0.81,72.6,13.86,4.71,5.0,0.0,29.17,2.2,7.46,20.58,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
25.0,1.25,335.0,151.72,53.9,97.82,118.72,59.46,59.25,54.0,4.31,0.72,0.69,33.68,18.43,5.29,6.0,1.0,27.78,2.09,7.47,6.04,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
26.0,1.3,311.3,160.56,72.41,88.16,102.4,50.8,51.61,88.0,4.28,0.6,0.72,58.06,1.0,5.14,6.0,1.0,38.1,2.34,6.62,13.66,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
