descriptor,mean,std,min,max,median
pock_volume,121.0499,98.6909,0.0,479.72,142.985
pock_asa,80.4037,62.4108,0.0,251.97,100.58
pock_pol_asa,16.5851,18.7469,0.0,130.0,10.8
pock_apol_asa,63.8187,49.9196,0.0,190.81,80.91
pock_asa22,58.4362,47.9654,0.0,214.94,68.09
pock_pol_asa22,12.2365,16.3978,0.0,104.26,3.53
pock_apol_asa22,46.1997,39.0103,0.0,175.84,51.61
nb_AS,20.9978,20.8153,0.0,126.0,18.0
mean_as_ray,2.7109,1.9111,0.0,6.1,3.91
mean_as_solv_acc,0.3586,0.2618,0.0,0.87,0.48
apol_as_prop,0.5195,0.4077,0.0,1.0,0.68
mean_loc_hyd_dens,14.0321,15.3445,0.0,103.69,9.86
hydrophobicity_score,13.5852,15.4177,-38.5,87.5,16.67
volume_score,3.3676,2.3728,0.0,7.0,4.83
polarity_score,1.5616,1.2494,0.0,5.0,2.0
charge_score,1.3425,1.1193,-1.0,4.0,2.0
prop_polar_atm,18.8782,15.3976,0.0,83.33,23.08
as_density,1.0425,0.8492,0.0,5.5,1.27
as_max_dst,2.2502,2.5812,-1.0,7.19,3.12
convex_hull_volume,1.6165,2.3516,-1.0,19.96,0.37
nb_abpa,1.4707,1.357,0.0,8.0,1.0
ALA,0.0,0.0,0.0,0.0,0.0
ARG,0.7121,0.5565,0.0,2.0,1.0
ASN,0.0,0.0,0.0,0.0,0.0
ASP,0.0002,0.0158,0.0,1.0,0.0
CYS,0.0,0.0,0.0,0.0,0.0
GLN,0.0,0.0,0.0,0.0,0.0
GLU,0.1093,0.312,0.0,1.0,0.0
GLY,0.0,0.0,0.0,0.0,0.0
HIS,0.2081,0.406,0.0,1.0,0.0
ILE,0.58,0.4936,0.0,1.0,1.0
LEU,0.0003,0.0183,0.0,1.0,0.0
LYS,0.5318,0.4995,0.0,2.0,1.0
MET,0.0,0.0,0.0,0.0,0.0
PHE,0.0,0.0,0.0,0.0,0.0
PRO,0.4838,0.4997,0.0,1.0,0.0
SER,0.0,0.0,0.0,0.0,0.0
THR,0.0,0.0,0.0,0.0,0.0
TRP,0.0,0.0,0.0,0.0,0.0
TYR,0.0,0.0,0.0,0.0,0.0
VAL,0.6562,0.4759,0.0,2.0,1.0
