snapshot,time_ns,pock_volume,pock_asa,pock_pol_asa,pock_apol_asa,pock_asa22,pock_pol_asa22,pock_apol_asa22,nb_AS,mean_as_ray,mean_as_solv_acc,apol_as_prop,mean_loc_hyd_dens,hydrophobicity_score,volume_score,polarity_score,charge_score,prop_polar_atm,as_density,as_max_dst,convex_hull_volume,nb_abpa,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
1.0,0.05,250.93,146.24,9.78,136.46,135.42,3.53,131.88,25.0,4.37,0.64,0.6,12.27,18.4,5.0,2.0,2.0,25.0,1.58,4.11,3.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.1,153.03,92.99,0.0,92.99,84.1,0.0,84.1,4.0,4.38,0.36,1.0,2.5,29.2,5.2,3.0,3.0,0.0,1.33,2.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,0.15000000000000002,226.42,141.89,15.09,126.8,104.95,1.74,103.21,27.0,4.37,0.64,0.7,16.42,18.4,5.0,2.0,2.0,25.0,1.37,3.47,1.38,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4.0,0.2,243.44,142.28,22.72,119.56,140.35,12.29,128.06,30.0,4.31,0.57,0.7,17.52,18.4,5.0,2.0,2.0,25.0,1.95,4.12,4.12,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5.0,0.25,178.94,138.9,22.97,115.93,127.81,26.51,101.3,20.0,4.2,0.46,0.85,13.41,18.4,5.0,2.0,2.0,33.33,1.41,2.54,0.95,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6.0,0.30000000000000004,172.79,139.36,16.18,123.18,125.66,5.25,120.41,43.0,4.47,0.53,0.86,32.38,18.4,5.0,2.0,2.0,25.0,0.91,3.61,0.81,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.4,268.16,179.73,25.15,154.58,168.24,22.97,145.26,21.0,4.23,0.74,0.48,7.8,0.2,4.8,3.0,3.0,18.75,1.87,6.15,3.71,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9.0,0.45,123.98,123.47,8.75,114.72,76.17,3.53,72.63,18.0,4.08,0.5,0.56,6.2,-1.75,5.0,2.0,2.0,28.57,1.29,3.1,0.41,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10.0,0.5,125.74,116.34,7.66,108.69,103.07,1.77,101.3,17.0,4.06,0.44,0.59,6.6,-1.75,5.0,2.0,2.0,25.0,1.29,2.92,0.14,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
11.0,0.55,201.27,145.21,8.75,136.46,122.18,1.77,120.41,24.0,4.29,0.57,0.75,14.78,-1.75,5.0,2.0,2.0,20.0,1.48,3.93,1.73,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12.0,0.6000000000000001,220.58,158.84,15.13,143.71,139.18,3.48,135.71,30.0,4.29,0.57,0.67,17.2,-1.75,5.0,2.0,2.0,27.27,1.81,4.82,2.07,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.75,246.09,136.79,17.23,119.56,106.69,3.48,103.21,45.0,4.26,0.6,0.91,37.37,0.2,4.8,3.0,3.0,23.08,2.05,4.35,3.82,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.8500000000000001,216.03,126.12,6.56,119.56,114.39,3.53,110.86,31.0,4.35,0.56,0.58,14.78,18.4,5.0,2.0,2.0,20.0,1.62,4.64,1.74,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18.0,0.9,238.12,160.12,26.07,134.05,138.81,8.84,129.97,36.0,4.34,0.47,0.81,24.83,0.2,4.8,3.0,3.0,28.57,1.69,4.94,2.41,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19.0,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,1.1500000000000001,231.28,141.02,13.01,128.01,112.63,1.77,110.86,22.0,4.3,0.54,0.73,13.62,18.4,5.0,2.0,2.0,27.27,1.68,4.57,0.64,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24.0,1.2000000000000002,232.98,156.6,26.18,130.42,142.05,15.9,126.15,30.0,4.47,0.55,0.73,18.27,16.67,4.83,3.0,3.0,28.57,1.66,3.95,2.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
25.0,1.25,229.0,131.61,10.85,120.76,110.71,1.77,108.95,32.0,4.13,0.56,0.81,23.0,16.67,4.83,3.0,3.0,21.43,2.28,4.4,4.31,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26.0,1.3,113.3,91.9,8.57,83.33,84.1,0.0,84.1,9.0,4.12,0.42,1.0,6.89,53.67,5.33,1.0,1.0,14.29,0.77,2.34,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.0,1.35,271.4,151.78,14.11,137.67,144.97,3.53,141.44,62.0,4.56,0.5,0.9,52.14,16.67,4.83,3.0,3.0,20.0,1.42,4.1,4.06,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
28.0,1.4000000000000001,216.73,120.1,16.25,103.86,101.01,3.53,97.48,35.0,4.62,0.47,0.89,26.39,16.67,4.83,3.0,3.0,25.0,0.95,2.97,0.46,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29.0,1.4500000000000002,172.86,115.23,16.2,99.03,114.25,5.3,108.95,27.0,4.14,0.56,0.7,15.16,18.4,5.0,2.0,2.0,25.0,1.65,3.79,2.08,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,1.55,251.08,128.24,8.68,119.56,118.21,3.53,114.68,46.0,4.3,0.51,0.78,32.78,18.4,5.0,2.0,2.0,21.43,1.74,4.49,4.02,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
32.0,1.6,268.85,178.11,28.37,149.75,162.5,22.97,139.53,42.0,4.35,0.42,0.81,31.18,18.4,5.0,2.0,2.0,28.57,2.07,4.68,2.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
33.0,1.6500000000000001,169.6,94.44,20.78,73.67,64.59,28.27,36.32,16.0,4.24,0.58,0.56,5.78,18.4,5.0,2.0,2.0,22.22,1.24,2.61,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34.0,1.7000000000000002,189.52,122.38,7.66,114.72,83.81,3.53,80.28,43.0,3.99,0.58,0.81,31.26,18.4,5.0,2.0,2.0,21.43,1.94,5.05,4.76,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
35.0,1.75,294.07,211.41,42.34,169.07,180.64,33.46,147.17,58.0,4.26,0.44,0.9,48.62,0.2,4.8,3.0,3.0,26.67,1.64,5.93,6.26,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
36.0,1.8,184.3,125.98,7.63,118.35,116.16,5.3,110.86,31.0,3.97,0.53,0.74,19.74,18.4,5.0,2.0,2.0,27.27,1.73,4.37,2.06,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,1.9000000000000001,228.35,119.97,17.32,102.65,87.43,5.25,82.19,34.0,4.2,0.65,0.74,21.52,18.4,5.0,2.0,2.0,23.08,1.69,3.61,4.28,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
39.0,1.9500000000000002,154.39,115.39,27.23,88.16,71.19,17.67,53.52,38.0,4.05,0.51,0.84,27.88,18.4,5.0,2.0,2.0,33.33,1.39,3.13,1.43,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
40.0,2.0,218.92,132.82,32.59,100.23,104.64,28.19,76.45,40.0,4.31,0.64,0.75,26.53,16.67,4.83,3.0,3.0,30.77,1.52,4.84,0.84,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41.0,2.0500000000000003,171.96,134.71,15.16,119.56,76.31,1.77,74.54,41.0,4.13,0.5,0.9,33.46,16.67,4.83,3.0,3.0,23.08,1.1,4.06,1.17,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
42.0,2.1,173.86,115.66,13.01,102.65,101.01,3.53,97.48,49.0,4.38,0.43,0.82,36.3,18.4,5.0,2.0,2.0,25.0,0.98,2.88,0.41,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
43.0,2.15,162.83,98.48,15.16,83.33,75.99,5.27,70.72,32.0,4.18,0.72,0.69,18.18,18.4,5.0,2.0,2.0,27.27,1.33,2.83,0.68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
44.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,2.3000000000000003,176.01,106.34,9.73,96.61,91.43,3.51,87.92,33.0,4.16,0.68,0.64,17.71,18.4,5.0,2.0,2.0,25.0,1.49,2.83,1.24,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
47.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
