descriptor,mean,std,min,max,median
pock_volume,86.7339,81.0953,0.0,314.33,86.44
pock_asa,57.113,50.8911,0.0,201.06,64.08
pock_pol_asa,34.3061,32.5284,0.0,152.76,34.55
pock_apol_asa,22.8069,22.8025,0.0,121.97,20.53
pock_asa22,38.1052,36.0899,0.0,154.2,38.1
pock_pol_asa22,24.9238,25.0936,0.0,131.16,22.61
pock_apol_asa22,13.1812,15.4336,0.0,93.66,7.65
nb_AS,9.1033,11.39,0.0,97.0,4.0
mean_as_ray,2.5169,1.9825,0.0,5.19,3.77
mean_as_solv_acc,0.3536,0.2941,0.0,0.95,0.46
apol_as_prop,0.119,0.2191,0.0,1.0,0.0
mean_loc_hyd_dens,1.1196,2.9631,0.0,38.28,0.0
hydrophobicity_score,-1.2332,9.4982,-30.33,43.5,0.0
volume_score,2.9308,2.3208,0.0,7.0,4.4
polarity_score,2.7734,2.3392,0.0,7.0,3.0
charge_score,0.5862,0.6737,-1.0,2.0,1.0
prop_polar_atm,32.6123,27.3659,0.0,100.0,42.86
as_density,0.7908,0.8,0.0,5.39,0.71
as_max_dst,1.2786,2.1979,-1.0,5.65,1.25
convex_hull_volume,0.4314,0.9361,-1.0,12.02,0.0
nb_abpa,1.379,1.4924,0.0,8.0,1.0
ALA,0.0,0.0,0.0,0.0,0.0
ARG,0.5572,0.4969,0.0,2.0,1.0
ASN,0.5405,0.4984,0.0,1.0,1.0
ASP,0.0,0.0,0.0,0.0,0.0
CYS,0.0,0.0,0.0,0.0,0.0
GLN,0.3454,0.4765,0.0,2.0,0.0
GLU,0.4794,0.4996,0.0,1.0,0.0
GLY,0.0,0.0,0.0,0.0,0.0
HIS,0.5083,0.4999,0.0,1.0,1.0
ILE,0.0,0.0,0.0,0.0,0.0
LEU,0.0219,0.1462,0.0,1.0,0.0
LYS,0.0001,0.0105,0.0,1.0,0.0
MET,0.0102,0.1003,0.0,1.0,0.0
PHE,0.0,0.0,0.0,0.0,0.0
PRO,0.0059,0.0767,0.0,1.0,0.0
SER,0.0,0.0,0.0,0.0,0.0
THR,0.0,0.0,0.0,0.0,0.0
TRP,0.0,0.0,0.0,0.0,0.0
TYR,0.3425,0.4746,0.0,1.0,0.0
VAL,0.1565,0.3633,0.0,1.0,0.0
